NO2,Proximity_to_Industrial_Areas,Air Quality
27.0,7.6,Moderate
42.7,6.7,Hazardous
42.9,5.1,Poor
27.7,15.5,Moderate
20.6,10.2,Good
20.3,5.7,Moderate
20.1,10.5,Good
29.0,6.9,Moderate
37.6,12.3,Poor
19.6,11.7,Good
19.0,12.6,Good
38.4,3.6,Poor
28.1,5.1,Moderate
21.9,5.5,Moderate
10.4,17.4,Good
22.2,11.6,Good
48.2,2.6,Hazardous
41.7,2.6,Hazardous
13.4,11.7,Good
15.0,10.5,Good
32.5,14.5,Moderate
26.414375678610206,12.0,Good
13.0,10.4,Good
35.8,8.8,Moderate
26.414375678610206,3.4,Poor
36.2,3.4,Poor
37.4,7.7,Moderate
31.7,6.1,Poor
23.5,7.8,Moderate
38.7,5.3,Poor
27.0,11.6,Good
26.0,10.6,Good
24.4,10.2,Good
30.3,6.3,Poor
38.0,3.7,Poor
41.7,4.2,Poor
27.2,5.4,Moderate
28.5,6.0,Hazardous
25.2,8.4,Moderate
15.7,11.3,Good
31.9,7.2,Moderate
33.6,9.6,Poor
32.7,13.8,Moderate
22.2,5.8,Moderate
23.5,5.9,Moderate
14.1,10.1,Good
32.7,5.2,Moderate
13.2,10.4,Good
19.3,3.8,Poor
31.6,10.4,Moderate
19.1,11.1,Good
32.1,6.1,Moderate
15.1,10.5,Good
13.0,13.0,Good
24.4,12.5,Good
21.7,5.4,Moderate
20.2,10.5,Good
21.1,11.7,Good
28.0,10.8,Moderate
20.3,11.0,Good
15.7,10.3,Good
23.8,5.3,Poor
35.4,15.4,Poor
37.5,2.9,Hazardous
28.0,7.6,Moderate
16.9,8.1,Moderate
22.8,13.8,Good
24.4,11.2,Good
24.2,12.6,Good
21.5,14.8,Good
24.8,10.6,Good
26.414375678610206,10.5,Good
21.4,12.3,Good
10.4,12.5,Good
25.7,13.8,Good
32.5,5.7,Moderate
23.1,12.2,Good
31.2,5.5,Poor
24.4,7.0,Poor
45.3,3.3,Hazardous
30.6,6.8,Moderate
12.2,18.9,Good
26.414375678610206,4.6,Poor
24.4,10.2,Moderate
19.4,10.6,Good
13.7,11.5,Good
40.0,9.9,Poor
44.6,2.8,Hazardous
27.1,12.1,Moderate
12.5,12.1,Good
24.2,6.4,Moderate
37.7,5.9,Poor
25.8,7.7,Moderate
26.4,5.2,Moderate
22.1,5.3,Moderate
46.0,4.0,Poor
35.2,4.7,Hazardous
35.7,4.0,Poor
34.4,5.1,Poor
26.414375678610206,4.9,Poor
43.5,4.6,Hazardous
21.0,9.1,Moderate
45.4,4.3,Hazardous
25.8,5.3,Moderate
16.8,12.2,Good
26.414375678610206,12.8,Good
25.1,10.3,Good
26.3,10.8,Good
18.9,9.3,Moderate
21.7,3.7,Poor
32.1,2.7,Hazardous
27.7,5.7,Moderate
26.414375678610206,12.7,Good
35.4,3.7,Hazardous
20.9,12.6,Good
26.0,10.2,Good
16.4,8.0,Moderate
14.1,7.5,Moderate
16.7,11.6,Good
21.9,5.9,Moderate
23.6,19.1,Good
17.3,11.0,Good
42.2,2.7,Hazardous
20.4,10.3,Moderate
13.2,11.1,Good
22.0,11.3,Good
20.6,10.1,Moderate
35.9,5.5,Moderate
12.2,11.8,Good
27.6,13.7,Good
26.414375678610206,12.5,Good
43.8,6.7,Hazardous
19.0,11.4,Good
36.3,2.8,Hazardous
26.2,11.6,Good
20.3,10.5,Good
21.7,10.0,Good
15.5,12.3,Good
24.6,5.4,Moderate
50.8,3.8,Hazardous
29.1,7.3,Moderate
12.2,12.4,Good
25.1,13.4,Good
34.8,5.7,Poor
19.4,12.2,Good
35.6,8.9,Moderate
25.4,3.9,Poor
27.7,10.3,Moderate
24.5,8.0,Moderate
21.2,5.8,Moderate
26.3,7.9,Moderate
33.4,5.3,Moderate
29.3,6.7,Moderate
18.0,12.0,Good
15.8,16.0,Good
21.8,15.0,Good
33.3,7.0,Moderate
14.6,10.9,Good
23.8,11.6,Good
20.0,10.3,Good
24.1,12.3,Good
22.4,6.0,Moderate
28.9,6.7,Moderate
32.1,6.6,Moderate
17.0,13.7,Good
28.8,5.9,Moderate
21.1,5.0,Moderate
36.3,5.0,Poor
16.4,11.1,Good
34.4,6.0,Hazardous
26.0,11.9,Good
16.8,11.4,Good
34.7,3.8,Poor
24.2,10.6,Good
41.6,4.8,Hazardous
26.414375678610206,5.4,Moderate
35.6,5.2,Poor
28.7,3.4,Poor
34.3,6.2,Poor
30.5,5.1,Moderate
21.0,10.1,Moderate
32.8,8.2,Moderate
22.2,5.2,Moderate
17.7,11.8,Good
26.2,15.0,Good
16.4,10.7,Good
23.3,18.8,Good
18.5,11.3,Good
22.4,6.1,Moderate
23.7,11.9,Good
26.414375678610206,7.8,Moderate
18.9,12.0,Moderate
15.6,10.8,Good
14.0,10.4,Good
19.7,10.3,Good
24.5,10.2,Good
32.4,3.8,Poor
26.414375678610206,7.6,Moderate
25.1,5.9,Moderate
22.1,5.2,Moderate
34.6,9.5,Moderate
36.1,5.7,Poor
31.5,7.1,Moderate
33.0,5.3,Poor
42.1,3.9,Poor
20.3,10.5,Good
39.2,9.0,Poor
25.7,12.7,Moderate
40.3,2.6,Hazardous
24.5,6.3,Moderate
13.4,11.5,Good
32.2,3.6,Poor
30.8,8.0,Moderate
17.6,13.1,Good
28.7,4.2,Poor
35.5,9.5,Moderate
13.0,16.7,Good
23.9,7.5,Moderate
38.6,3.7,Poor
22.3,11.5,Good
34.1,4.4,Poor
39.7,5.4,Hazardous
50.8,2.8,Hazardous
39.5,4.6,Poor
45.4,4.2,Poor
22.8,8.5,Moderate
29.3,5.3,Moderate
17.9,10.5,Good
23.0,12.6,Good
40.6,4.3,Hazardous
26.414375678610206,10.2,Moderate
14.8,15.9,Good
44.3,4.9,Poor
56.1,2.7,Hazardous
26.9,11.2,Good
32.4,4.1,Poor
22.1,5.9,Poor
24.7,11.2,Good
17.6,11.0,Good
14.0,11.6,Good
24.7,6.4,Moderate
20.9,11.1,Good
